Thread,Profile,Count,TotalTime,Min,Max,Avg
thread 0,Player::Receive(),16,1.50067,0.00256,0.720128,0.093792
thread 1,Player::Receive(ReadOnlyStream&&),669,2.24768,0.001024,0.007168,0.00335976
ServerLoop,Send->Player::Send->ForEachModule::Server_Send->DashboardScreen Sync Compress,1306,1493.95,0.017408,8.13158,1.14391
ServerLoop,Send->Player::Send->SyncTransforms,666,18.764,0.018176,0.057344,0.0281742
ServerLoop,Send->Player::Send->SubscribeUnsubscribeEntities,666,393.646,0.421376,1.27027,0.591059
ServerLoop,Send->Player::Send,665,2113.01,0.739072,11.4504,3.17745
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<SmallTurboPump>::AfterUpdate,9990,0.710656,0,0.000512,7.11367e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<DockableDoor>::AfterUpdate,666,0.134144,0,0.000768,0.000201417
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<MagicCube>::AfterUpdate,666,0.05888,0,0.000256,8.84084e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<Computer>::AfterUpdate,8658,0.61568,0,0.000512,7.11111e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<Crafter>::AfterUpdate,8658,0.71424,0,0.000512,8.24948e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<BigThruster>::AfterUpdate,3996,0.26752,0,0.000256,6.69469e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<DataJunction>::AfterUpdate,39294,2.49062,0,0.00256,6.33843e-05
ServerLoop,Send->SaveWorld,1,350.06,350.06,350.06,350.06
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<FluidJunction>::AfterUpdate,44622,2.77606,0,0.000512,6.22129e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<HighVoltageJunction>::AfterUpdate,56610,3.56608,0,0.000768,6.29938e-05
ServerLoop,Send->SaveWorld->DashboardScreen Sync Compress,46,14.8708,0.006912,2.65677,0.323278
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<Aileron>::AfterUpdate,31302,2.2039,0,0.000768,7.04078e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<DataBridge>::AfterUpdate,20646,1.33453,0,0.000256,6.46386e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<Numpad>::AfterUpdate,3996,0.297472,0,0.000512,7.44424e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<BigTurboPump>::AfterUpdate,5328,0.491776,0,0.000768,9.23003e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<Buzzer>::AfterUpdate,10656,0.88064,0,0.000512,8.26426e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<TrashCan>::AfterUpdate,5328,0.406784,0,0.000512,7.63483e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<ItemBridge>::AfterUpdate,13986,0.967424,0,0.000512,6.91709e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<DockingPort>::AfterUpdate,11988,13.0437,0,0.008192,0.00108806
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<Propeller>::AfterUpdate,27972,2.03008,0,0.000512,7.25754e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<HighVoltageRelay>::AfterUpdate,29304,1.85011,0,0.000768,6.31351e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<Dashboard>::AfterUpdate,446886,27.234,0,0.02176,6.09418e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<Container>::AfterUpdate,27972,2.03136,0,0.000512,7.26212e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<Beacon>::AfterUpdate,33966,2.38797,0,0.004096,7.03047e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<SolarSensor>::AfterUpdate,6660,0.483072,0,0.000512,7.25333e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<SmallWheel>::AfterUpdate,14652,1.08493,0,0.000512,7.40464e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<HighVoltageBridge>::AfterUpdate,36630,2.34368,0,0.006144,6.39825e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<SpotLight>::AfterUpdate,59274,3.94778,0,0.000512,6.66022e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<Router>::AfterUpdate,17982,645.473,0,0.504576,0.0358955
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<PowerConverter>::AfterUpdate,103896,6.63808,0,0.001024,6.38916e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<LowVoltageBattery>::AfterUpdate,43956,2.88922,0,0.00384,6.57297e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<Build>::AfterUpdate,73260,23.0249,0,0.071168,0.00031429
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<GroundAnchor>::AfterUpdate,17316,15.6493,0,0.00768,0.000903747
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<SolarPanel>::AfterUpdate,452880,27.2829,0,0.01536,6.02432e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<Lamp>::AfterUpdate,61938,4.08627,0,0.000512,6.59736e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<OwnerPad>::AfterUpdate,23310,1.79098,0,0.0064,7.68329e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate,666,4164.16,5.09619,11.2049,6.2525
ServerLoop,ServerUpdate->PhysicsUpdate,666,2787.87,3.71661,6.31987,4.18599
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<AngularVelocitySensor>::AfterUpdate,6660,0.53504,0,0.000512,8.03363e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<RCS>::Update,666,0.249856,0,0.001792,0.000375159
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<Bobblehead>::Update,2664,0.27648,0,0.000512,0.000103784
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<MiniRouter>::AfterUpdate,17982,61.6776,0,0.077056,0.00342996
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<AltitudeSensor>::Update,3330,10.5974,0.002304,0.041216,0.0031824
ServerLoop,Send->Player::Send->ForEachModule::Server_Send,665,1649.71,0.229376,8.57037,2.48076
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<SmallFluidTank>::Update,6660,13.9167,0.000768,0.01024,0.00208959
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<MagicCube>::Update,666,0.615424,0.000512,0.00256,0.00092406
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<ItemConveyor>::Update,7992,9.46739,0,0.00896,0.00118461
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<SmallPivot>::AfterUpdate,26640,15.3761,0,0.017152,0.000577182
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<LowVoltageBridge>::Update,33966,2.47808,0,0.000512,7.29577e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<FluidBridge>::Update,22644,1.60691,0,0.000512,7.09641e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<OreScanner>::AfterUpdate,9324,0.658688,0,0.00768,7.06444e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<BigThruster>::Update,3996,5.72262,0.000512,0.00768,0.00143209
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<AltitudeSensor>::AfterUpdate,3330,0.238592,0,0.000512,7.16492e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<DataJunction>::Update,39294,73.5749,0,0.03456,0.00187242
ServerLoop,Send->Player::Send->SyncEntities,666,40.7644,0.041216,10.613,0.0612078
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<FluidJunction>::Update,44622,3.22842,0,0.006656,7.23503e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<FluidTank>::Update,18648,36.9244,0.000256,0.04608,0.00198007
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<Crafter>::BeforeUpdate,8658,182.697,0,0.146432,0.0211015
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<TrashCan>::BeforeUpdate,5328,0.52224,0,0.002816,9.8018e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<PowerConverter>::BeforeUpdate,103896,6.78195,0,0.002048,6.52764e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<FluidValve>::BeforeUpdate,7326,0.520704,0,0.000512,7.10762e-05
